1,STATE ABBREVIATION,STATE,DISTRICT,FEC ID,(I) INCUMBENT INDICATOR,CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,GE RUNOFF ELECTION VOTES (when applicable),GE RUNOFF ELECTION % (when applicable),COMBINED GE PARTY TOTALS (when applicable),COMBINED GE PARTY % (when applicable),PE WINNER INDICATOR,GE WINNER INDICATOR,FOOTNOTES,1ST ROUND RCV VOTES,1ST ROUND RCV %,2ND ROUND RCV VOTES,2ND ROUND RCV %,3RD ROUND RCV VOTES,3RD ROUND RCV %
61,AK,Alaska,00,H2AK01083,,Nick ,Begich,"Begich, Nick ",,R,50021,26.1869486689527%,,,61513,23.334850726452%,,,,,W,,Top 4 Primary System; Ranked Choice Voting for General Election. Votes shown in General Column are the official 1st Choice General Vote Summary Results. Ranked Choice Voting rounds are in columns Y through AD.,62505,23.6234310572246%,64499,24.4607181323099%,0,0%
62,AK,Alaska,00,H2AK01216,,Chris,Bye,"Bye, Chris  #",,LIB,1189,0.622464204381855%,,,4570,1.73362163802587%,,,,,W#,,#  Tara Sweeney withdrew after the primary election and Chris Bye advanced to the general election.  (Top 4 Primary System.)  Ranked Choice Voting for General Election. Votes shown in General Column are the official 1st Choice General Vote Summary Results. Ranked Choice Voting rounds are in columns Y through AD.,4999,1.88934536205209%,0,0%,0,0%
63,AK,Alaska,00,n/a,,,Scattered,Scattered,,W,,,,,1108,0.420317893858351%,,,,,,,Top 4 Primary System; Ranked Choice Voting for General Election. Votes shown in General Column are the official 1st Choice General Vote Summary Results. Ranked Choice Voting rounds are in columns Y through AD.,,,,,,
64,AK,Alaska,00,H2AK01174,,Tara M. ,Sweeney,"Sweeney, Tara M.  #",,R,7195,3.76671989110803%,,,,,,,,,W#,,#  Tara Sweeney withdrew after the primary election and Chris Bye advanced to the general election.  (Top 4 Primary System.),,,,,,
65,AK,Alaska,00,H2AK01091,,J.R,Myers,"Myers, J.R",,LIB,531,0.277988639635631%,,,,,,,,,,,Top 4 Primary System.,,,,,,
66,AK,Alaska,00,H2AK01232,,"Robert ""Bob"" ",Lyons,"Lyons, Robert ""Bob"" ",,R,447,0.234013035625474%,,,,,,,,,,,Top 4 Primary System.,,,,,,
67,AK,Alaska,00,H2AK00267,,Jay R.,Armstrong,"Armstrong, Jay R.",,R,403,0.210978195429678%,,,,,,,,,,,Top 4 Primary System.,,,,,,
68,AK,Alaska,00,H2AK00507,,Brad ,Snowden,"Snowden, Brad ",,R,355,0.185849278852446%,,,,,,,,,,,Top 4 Primary System.,,,,,,
69,AK,Alaska,00,H2AK01059,,Randy,Purham,"Purham, Randy",,R,311,0.16281443865665%,,,,,,,,,,,Top 4 Primary System.,,,,,,
70,AK,Alaska,00,H2AK01182,,Lady Donna ,Dutchess,"Dutchess, Lady Donna ",,N,270,0.141350155746931%,,,,,,,,,,,Top 4 Primary System.,,,,,,
71,AK,Alaska,00,H2AK00523,,Sherry A.,Strizak,"Strizak, Sherry A.",,UND,252,0.131926812030469%,,,,,,,,,,,Top 4 Primary System.,,,,,,
72,AK,Alaska,00,H2AK00358,,Robert,Ornelas,"Ornelas, Robert",,AIP,248,0.129832735649033%,,,,,,,,,,,Top 4 Primary System.,,,,,,
73,AK,Alaska,00,H2AK00515,,Denise A. ,Williams,"Williams, Denise A. ",,R,242,0.126691621076879%,,,,,,,,,,,Top 4 Primary System.,,,,,,
74,AK,Alaska,00,H2AK01075,,Gregg B. ,Brelsford,"Brelsford, Gregg B. ",,UND,241,0.12616810198152%,,,,,,,,,,,Top 4 Primary System.,,,,,,
75,AK,Alaska,00,H2AK01125,,David ,Hughes,"Hughes, David ",,UND,238,0.124597544695443%,,,,,,,,,,,Top 4 Primary System.,,,,,,
76,AK,Alaska,00,H2AK00531,,Andrew H. ,Phelps,"Phelps, Andrew H. ",,N,222,0.116221239169699%,,,,,,,,,,,Top 4 Primary System.,,,,,,
77,AK,Alaska,00,H2AK00549,,Tremayne ,Wilson,"Wilson, Tremayne ",,N,194,0.101562704499647%,,,,,,,,,,,Top 4 Primary System.,,,,,,
78,AK,Alaska,00,H2AK01208,,Sherry M.,Mettler,"Mettler, Sherry M.",,UND,191,0.0999921472135696%,,,,,,,,,,,Top 4 Primary System.,,,,,,
79,AK,Alaska,00,H2AK00473,,Silvio E.,Pellegrini,"Pellegrini, Silvio E.",,UND,187,0.0978980708321336%,,,,,,,,,,,Top 4 Primary System.,,,,,,
80,AK,Alaska,00,H2AK00416,,Ted,Heintz,"Heintz, Ted",,N,173,0.0905688034971076%,,,,,,,,,,,Top 4 Primary System.,,,,,,
81,AK,Alaska,00,H2AK01257,,"Davis L., Jr.",LeBlanc,"LeBlanc, Davis L., Jr.",,UND ,117,0.0612517341570034%,,,,,,,,,,,Top 4 Primary System.,,,,,,
82,AK,Alaska,00,n/a,,,,,District Votes:,,191015,,,,263610,,,,,,,,,264589,,263684,,249734,
83,AK,Alaska,H,n/a,,,,,Total State Votes:,,191015,,,,263610,,,,,,,,,264589,,263684,,249734,
84,AS,American Samoa,,,,,,DELEGATE,,,,,,,,,,,,,,,,,,,,,
85,AS,American Samoa,00,H4AS00036,(I),Aumua,Amata,"Amata, Aumua",,R,,,,,6637,100%,,,,,,W,,,,,,,
86,AS,American Samoa,00,n/a,,,,,District Votes:,,,,,,6637,,,,,,,,,,,,,,
87,AS,American Samoa,H,n/a,,,,,Total State Votes:,,,,,,6637,,,,,,,,,,,,,,
88,AZ,Arizona,,,,,,DISTRICT 1,,,,,,,,,,,,,,,,,,,,,
89,AZ,Arizona,01,H4AZ06045,(I),David,Schweikert,"Schweikert, David",,R,52067,43.5703466916595%,,,182336,50.441936831389%,,,,,W,W,,,,,,,
90,AZ,Arizona,01,H2AZ06247,,Elijah ,Norton,"Norton, Elijah ",,R,39435,32.9997238516833%,,,,,,,,,,,,,,,,,
91,AZ,Arizona,01,H0AZ07082,,Josh,Barnett,"Barnett, Josh",,R,27999,23.4299294566573%,,,,,,,,,,,,,,,,,
92,AZ,Arizona,01,n/a,,,,,Party Votes:,R,119501,,,,,,,,,,,,,,,,,,
93,AZ,Arizona,01,H2AZ06221,,Jevin,Hodge,"Hodge, Jevin",,D,46144,61.8668382806425%,,,179141,49.558063168611%,,,,,W,,,,,,,,
94,AZ,Arizona,01,H2AZ06270,,Adam,Metzendorf,"Metzendorf, Adam",,D,28267,37.8985332368005%,,,,,,,,,,,,,,,,,
95,AZ,Arizona,01,H8AZ04165,,Delina,DiSanto,"DiSanto, Delina",,W(D),175,0.234628482557048%,,,,,,,,,,,,,,,,,
96,AZ,Arizona,01,n/a,,,,,Party Votes:,D,74586,,,,,,,,,,,,,,,,,,
97,AZ,Arizona,01,n/a,,,,,District Votes:,,194087,,,,361477,,,,,,,,,,,,,,
98,AZ,Arizona,,n/a,,,,DISTRICT 2,,,,,,,,,,,,,,,,,,,,,
99,AZ,Arizona,02,H2AZ01354,,Eli,Crane,"Crane, Eli",,R,38681,35.7812846888182%,,,174169,53.856262909869%,,,,,W,W,,,,,,,
100,AZ,Arizona,02,H2AZ01339,,"Walter ""Walt""",Blackman,"Blackman, Walter ""Walt""",,R,26399,24.4200029601125%,,,,,,,,,,,,,,,,,
101,AZ,Arizona,02,H2AZ02402,,Mark,DeLuzio,"DeLuzio, Mark",,R,18515,17.1270258269814%,,,,,,,,,,,,,,,,,
102,AZ,Arizona,02,H2AZ01370,,Andy,Yates,"Yates, Andy",,R,7467,6.90723747502405%,,,,,,,,,,,,,,,,,
103,AZ,Arizona,02,H2AZ01347,,John W.,Moore,"Moore, John W.",,R,7327,6.77773255383705%,,,,,,,,,,,,,,,,,
104,AZ,Arizona,02,H2AZ02410,,Steven,Kyrstofiak,"Kyrstofiak, Steven",,R,5905,5.46233256863761%,,,,,,,,,,,,,,,,,
105,AZ,Arizona,02,H2AZ01362,,Ron,Watkins,"Watkins, Ron",,R,3810,3.52438392658921%,,,,,,,,,,,,,,,,,
106,AZ,Arizona,02,n/a,,,,,Party Votes:,R,108104,,,,,,,,,,,,,,,,,,
107,AZ,Arizona,02,H6AZ01199,(I),Tom,O'Halleran,"O'Halleran, Tom",,D,71391,100%,,,149151,46.1202364902473%,,,,,W,,,,,,,,
108,AZ,Arizona,02,n/a,,,,,Party Votes:,D,71391,,,,,,,,,,,,,,,,,,
109,AZ,Arizona,02,H2AZ02444,,Chris,Sarappo,"Sarappo, Chris",,W,,,,,76,0.0235005998837339%,,,,,,,,,,,,,
110,AZ,Arizona,02,n/a,,,,,District Votes:,,179495,,,,323396,,,,,,,,,,,,,,
111,AZ,Arizona,,n/a,,,,DISTRICT 3,,,,,,,,,,,,,,,,,,,,,
112,AZ,Arizona,03,H4AZ07043,(I),Ruben,Gallego,"Gallego, Ruben",,D,47972,100%,,,108599,76.9801664374725%,,,,,W,W,,,,,,,
113,AZ,Arizona,03,n/a,,,,,Party Votes:,D,47972,,,,,,,,,,,,,,,,,,
114,AZ,Arizona,03,H2AZ07187,,Jeff,Zink,"Zink, Jeff",,R,13894,100%,,,32475,23.0198335625275%,,,,,W,,,,,,,,
115,AZ,Arizona,03,n/a,,,,,Party Votes:,R,13894,,,,,,,,,,,,,,,,,,
116,AZ,Arizona,03,n/a,,,,,District Votes:,,61866,,,,141074,,,,,,,,,,,,,,
117,AZ,Arizona,,,,,,DISTRICT 4,,,,,,,,,,,,,,,,,,,,,
118,AZ,Arizona,04,H8AZ09040,(I),Greg,Stanton,"Stanton, Greg",,D,61319,100%,,,148941,56.0987276740314%,,,,,W,W,,,,,,,
119,AZ,Arizona,04,n/a,,,,,Party Votes:,D,61319,,,,,,,,,,,,,,,,,,
120,AZ,Arizona,04,H2AZ09191,,Kelly ,Cooper,"Cooper, Kelly ",,R,20281,28.3864737004171%,,,116521,43.8877129017921%,,,,,W,,,,,,,,
121,AZ,Arizona,04,H2AZ09175,,Tanya Contreras,Wheeless,"Wheeless, Tanya Contreras",,R,18166,25.426196008174%,,,,,,,,,,,,,,,,,
122,AZ,Arizona,04,H6AZ09010,,Dave ,Giles,"Giles, Dave ",,R,13348,18.6826414354897%,,,,,,,,,,,,,,,,,
123,AZ,Arizona,04,H2AZ09167,,Rene,Lopez,"Lopez, Rene",,R,10149,14.2051339473169%,,,,,,,,,,,,,,,,,
124,AZ,Arizona,04,H2AZ09183,,Jerone,Davison,"Davison, Jerone",,R,9502,13.2995549086023%,,,,,,,,,,,,,,,,,
125,AZ,Arizona,04,n/a,,,,,Party Votes:,R,71446,,,,,,,,,,,,,,,,,,
126,AZ,Arizona,04,H2AZ04234,,"Stephan ""Steve""",Jones,"Jones, Stephan ""Steve""",,W,,,,,36,0.0135594241764533%,,,,,,,,,,,,,
127,AZ,Arizona,04,n/a,,,,,District Votes:,,132765,,,,265498,,,,,,,,,,,,,,
128,AZ,Arizona,,n/a,,,,DISTRICT 5,,,,,,,,,,,,,,,,,,,,,
129,AZ,Arizona,05,H6AZ05083,(I),Andy,Biggs,"Biggs, Andy",,R,98114,99.5373845997768%,,,182464,56.7380826518238%,,,,,W,W,,,,,,,
130,AZ,Arizona,05,n/a,,Jim Paul,Beall,"Beall, Jim Paul",,W(R),197,0.199857968956072%,,,,,,,,,,,,,,,,,
131,AZ,Arizona,05,H2AZ05199,,Martin,Callan,"Callan, Martin",,W(R),193,0.195799939129553%,,,,,,,,,,,,,,,,,
132,AZ,Arizona,05,n/a,,David,Boels,"Boels, David",,W(R),66,0.0669574921375672%,,,,,,,,,,,,,,,,,
133,AZ,Arizona,05,n/a,,,,,Party Votes:,R,98570,,,,,,,,,,,,,,,,,,
134,AZ,Arizona,05,H0AZ05185,,Javier,Ramos,"Ramos, Javier",,D,50647,100%,,,120243,37.3901551665164%,,,,,W,,,,,,,,
135,AZ,Arizona,05,n/a,,,,,Party Votes:,D,50647,,,,,,,,,,,,,,,,,,
136,AZ,Arizona,05,H2AZ05173,,Clint,Smith,"Smith, Clint",,IND,,,,,18851,5.86181162349576%,,,,,,,,,,,,,
137,AZ,Arizona,05,H2AZ05207,,"Debra Jo ""D-Jo""",Borden,"Borden, Debra Jo ""D-Jo""",,W,,,,,32,0.00995055816412202%,,,,,,,,,,,,,
138,AZ,Arizona,05,n/a,,,,,District Votes:,,149217,,,,321590,,,,,,,,,,,,,,
139,AZ,Arizona,,n/a,,,,DISTRICT 6,,,,,,,,,,,,,,,,,,,,,
140,AZ,Arizona,06,H2AZ02360,,Juan,Ciscomani,"Ciscomani, Juan",,R,49559,47.1164815941588%,,,177201,50.7327868805525%,,,,,W,W,,,,,,,
141,AZ,Arizona,06,H8AZ02201,,Brandon,Martin,"Martin, Brandon",,R,21987,20.903369333739%,,,,,,,,,,,,,,,,,
142,AZ,Arizona,06,H2AZ02378,,Kathleen,Winn,"Winn, Kathleen",,R,19635,18.6672878004259%,,,,,,,,,,,,,,,,,
143,AZ,Arizona,06,H2AZ06304,,Young,Mayberry,"Mayberry, Young",,R,8942,8.50129297231518%,,,,,,,,,,,,,,,,,
144,AZ,Arizona,06,H2AZ02394,,Lucretia,Free,"Free, Lucretia",,R,5029,4.78114542135686%,,,,,,,,,,,,,,,,,
145,AZ,Arizona,06,H8AZ02250,,Jordan,Flayer,"Flayer, Jordan",,W(R),32,0.0304228780042592%,,,,,,,,,,,,,,,,,
146,AZ,Arizona,06,n/a,,,,,Party Votes:,R,105184,,,,,,,,,,,,,,,,,,
147,AZ,Arizona,06,H2AZ02311,,Kirsten ,Engel,"Engel, Kirsten ",,D,54060,59.0729287322158%,,,171969,49.2348611298002%,,,,,W,,,,,,,,
148,AZ,Arizona,06,H2AZ02345,,Daniel,Hernandez,"Hernandez, Daniel",,D,31815,34.7651725419062%,,,,,,,,,,,,,,,,,
149,AZ,Arizona,06,H2AZ06312,,Avery,Anderson,"Anderson, Avery",,D,5639,6.16189872587801%,,,,,,,,,,,,,,,,,
150,AZ,Arizona,06,n/a,,,,,Party Votes:,D,91514,,,,,,,,,,,,,,,,,,
151,AZ,Arizona,06,H2AZ06338,,Avery Alexander,Thornton,"Thornton, Avery Alexander",,W,,,,,71,0.0203273563271044%,,,,,,,,,,,,,
152,AZ,Arizona,06,H2AZ06320,,Frank,Bertone,"Bertone, Frank",,W,,,,,42,0.0120246333202589%,,,,,,,,,,,,,
153,AZ,Arizona,06,n/a,,,,,District Votes:,,196698,,,,349283,,,,,,,,,,,,,,
154,AZ,Arizona,,n/a,,,,DISTRICT 7,,,,,,,,,,,,,,,,,,,,,
155,AZ,Arizona,07,H2AZ07070,(I),Ra£l,Grijalva,"Grijalva, Ra£l",,D,62547,100%,,,126418,64.5444241353606%,,,,,W,W,,,,,,,
156,AZ,Arizona,07,n/a,,,,,Party Votes:,D,62547,,,,,,,,,,,,,,,,,,
157,AZ,Arizona,07,H2AZ03152,,Luis,Pozzolo,"Pozzolo, Luis",,R,20413,69.0094658553076%,,,69444,35.4555758646394%,,,,,W,,,,,,,,
158,AZ,Arizona,07,H2AZ07195,,"Nina ""La Nina""",Becker,"Becker, Nina ""La Nina""",,R,9064,30.6423258958756%,,,,,,,,,,,,,,,,,
159,AZ,Arizona,07,H2AZ07203,,"David ""Rizzo""",Reetz,"Reetz, David ""Rizzo""",,W(R),103,0.348208248816768%,,,,,,,,,,,,,,,,,
160,AZ,Arizona,07,n/a,,,,,Party Votes:,R,29580,,,,,,,,,,,,,,,,,,
161,AZ,Arizona,07,n/a,,,,,District Votes:,,92127,,,,195862,,,,,,,,,,,,,,
162,AZ,Arizona,,n/a,,,,DISTRICT 8,,,,,,,,,,,,,,,,,,,,,
163,AZ,Arizona,08,H8AZ08158,(I),Debbie,Lesko,"Lesko, Debbie",,R,100629,100%,,,197555,96.5033974393419%,,,,,W,W,,,,,,,
164,AZ,Arizona,08,n/a,,,,,Party Votes:,R,100629,,,,,,,,,,,,,,,,,,
165,AZ,Arizona,08,H2AZ08193,,Jeremy,Spreitzer,"Spreitzer, Jeremy",,W,,,,,5145,2.51327468211594%,,,,,,,,,,,,,
166,AZ,Arizona,08,H2AZ08219,,Alixandria,Guzman,"Guzman, Alixandria",,W,,,,,2013,0.983327878542154%,,,,,,,,,,,,,
167,AZ,Arizona,08,n/a,,,,,District Votes:,,100629,,,,204713,,,,,,,,,,,,,,
168,AZ,Arizona,,n/a,,,,DISTRICT 9,,,,,,,,,,,,,,,,,,,,,
169,AZ,Arizona,09,H0AZ01259,(I),Paul,Gosar,"Gosar, Paul",,R,67340,65.9149194416711%,,,192796,97.7741714633466%,,,,,W,W,,,,,,,
170,AZ,Arizona,09,H2AZ09209,,Randy,Kutz,"Kutz, Randy",,R,13387,13.103698048198%,,,,,,,,,,,,,,,,,
171,AZ,Arizona,09,H2AZ04218,,Adam,Morgan,"Morgan, Adam",,R,12508,12.2432998570897%,,,,,,,,,,,,,,,,,
172,AZ,Arizona,09,H2AZ09225,,Sandra E.,Dowling,"Dowling, Sandra E.",,R,8851,8.66369100056773%,,,,,,,,,,,,,,,,,
173,AZ,Arizona,09,H2AZ09258,,Jack,Harper,"Harper, Jack",,W(R),76,0.0743916524735225%,,,,,,,,,,,,,,,,,
174,AZ,Arizona,09,n/a,,,,,Party Votes:,R,102162,,,,,,,,,,,,,,,,,,
175,AZ,Arizona,09,H2AZ09233,,Richard,Grayson,"Grayson, Richard",,W,,,,,3531,1.79070416106702%,,,,,,,,,,,,,
176,AZ,Arizona,09,H2AZ09266,,Tom,T.      (Tzitzura),"T., Tom      (Tzitzura)",,W,,,,,858,0.435124375586378%,,,,,,,,,,,,,
177,AZ,Arizona,09,H2AZ09241,,David,Lucier,"Lucier, David",,W(D),1319,72.67217630854%,,,,,,,,,,,,,,,,,
178,AZ,Arizona,09,H0AZ06076,,Gene,Scharer,"Scharer, Gene",,W(D),496,27.3278236914601%,,,,,,,,,,,,,,,,,
179,AZ,Arizona,09,n/a,,,,,Party Votes:,D,1815,,,,,,,,,,,,,,,,,,
180,AZ,Arizona,09,n/a,,,,,District Votes:,,103977,,,,197185,,,,,,,,,,,,,,
181,AZ,Arizona,H,n/a,,,,,Total State Votes:,,1210861,,,,2360078,,,,,,,,,,,,,,
182,AR,Arkansas,,,,,,DISTRICT 1,,,,,,,,,,,,,,,,,,,,,
183,AR,Arkansas,01,H0AR01083,(I),Rick ,Crawford,"Crawford, Rick ",,R,64102,74.6066108007449%,,,153774,73.7978231240282%,,,,,W,W,,,,,,,
184,AR,Arkansas,01,H2AR01105,,Brandt ,Smith,"Smith, Brandt ",,R,11981,13.9443668528864%,,,,,,,,,,,,,,,,,
185,AR,Arkansas,01,H2AR01121,,Jody,Shackelford,"Shackelford, Jody",,R,9837,11.4490223463687%,,,,,,,,,,,,,,,,,
